model_id,condition_id,accuracy,invalid_rate,n
Qwen/Qwen2.5-3B-Instruct,baseline,0.5285326086956522,0.021739130434782608,736
Qwen/Qwen2.5-3B-Instruct,cot_constrained,0.5054347826086957,0.0,736
Qwen/Qwen2.5-72B-Instruct,baseline,0.8016304347826086,0.025815217391304348,736
Qwen/Qwen2.5-72B-Instruct,cot_constrained,0.8206521739130435,0.0,736
Qwen/Qwen2.5-7B-Instruct,baseline,0.6059782608695652,0.050271739130434784,736
Qwen/Qwen2.5-7B-Instruct,cot_constrained,0.6467391304347826,0.0,736
google/gemma-3-12b-it,baseline,0.6413043478260869,0.002717391304347826,736
google/gemma-3-12b-it,cot_constrained,0.6141304347826086,0.001358695652173913,736
meta-llama/Llama-3.1-70B-Instruct,baseline,0.7567934782608695,0.019021739130434784,736
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,0.7241847826086957,0.012228260869565218,736
meta-llama/Llama-3.1-8B-Instruct,baseline,0.5788043478260869,0.03260869565217391,736
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,0.44565217391304346,0.04755434782608696,736
microsoft/Phi-4-mini-instruct,baseline,0.49728260869565216,0.0,736
microsoft/Phi-4-mini-instruct,cot_constrained,0.47146739130434784,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,baseline,0.5366847826086957,0.001358695652173913,736
mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,0.49320652173913043,0.0,736
